Time,Num Task Set,Num Tasks,Time running,Cpu utilization
508,200,15000,14432.7,0.00202607
509,200,15000,14489.4,0.00202607
510,200,15000,14390.1,0.00202607
511,200,15000,14432.1,0.00202607
512,200,15000,14712.4,0.00202607
513,200,15000,14586.6,0.00202607
514,200,15000,14685.9,0.00202607
515,200,15000,14605.2,0.00202607
516,200,15000,14598.2,0.00202607
517,200,15000,14422.7,0.00202607
518,200,15000,14445.1,0.00202607
519,200,15000,14428.1,0.00202607
520,200,15000,14525.9,0.00202607
521,200,15000,14423.8,0.00202607
522,200,15000,14443.7,0.00202607
523,200,15000,14410.6,0.00202607
524,200,15000,14558.4,0.00202607
525,200,15000,14593.5,0.00202607
526,200,15000,14577,0.00202607
527,200,15000,14514,0.00202607
528,200,15000,14576,0.00202607
529,200,15000,14479.9,0.00202607
530,200,15000,14356,0.00202607
531,200,15000,14368,0.00202607
532,200,15000,14436.7,0.00202607
533,200,15000,14560.3,0.00202607
534,200,15000,14595,0.00202607
535,200,15000,14590.6,0.00202607
536,200,15000,14622.5,0.00202607
537,200,15000,14636.2,0.00202607
538,200,15000,14647.9,0.00202607
539,200,15000,14386.5,0.00202607
540,200,15000,14368.9,0.00202607
541,200,15000,14436.7,0.00202607
542,200,15000,14363.7,0.00202607
543,200,15000,14391.5,0.00202607
544,200,15000,14417.3,0.00202607
545,200,15000,14549.3,0.00202607
546,200,15000,14431.9,0.00202607
547,200,15000,14383.1,0.00202607
548,200,15000,14397.3,0.00202607
549,200,15000,14518.3,0.00202607
550,200,15000,14351.3,0.00202607
551,200,15000,14420.3,0.00202607
552,200,15000,14377.9,0.00202607
553,200,15000,14424.4,0.00202607
554,200,15000,14338.7,0.00202607
555,200,15000,14332.5,0.00202607
556,200,15000,14307,0.00202607
557,200,15000,14385.1,0.00202607
558,200,15000,14559.9,0.00202607
559,200,15000,14633.2,0.00202607
560,200,15000,14591.4,0.00202607
561,200,15000,14693.4,0.00202607
562,200,15000,14620.8,0.00202607
563,200,15000,14474.3,0.00202607
564,200,15000,14416.8,0.00202607
565,200,15000,14576.1,0.00202607
566,200,15000,14452,0.00202607
567,200,15000,14396.5,0.00202607
568,200,15000,14420.7,0.00202607
569,200,15000,14563.7,0.00202607
570,200,15000,14377,0.00202607
571,200,15000,14372.3,0.00202607
572,200,15000,14373.7,0.00202607
573,200,15000,14440,0.00202607
574,200,15000,14389.6,0.00202607
575,200,15000,14358.7,0.00202607
576,200,15000,14383.3,0.00202607
577,200,15000,14401.3,0.00202607
578,200,15000,14413.9,0.00202607
579,200,15000,14376.8,0.00202607
580,200,15000,14357.7,0.00202607
581,200,15000,14361.8,0.00202607
582,200,15000,14499.6,0.00202607
583,200,15000,14586.4,0.00202607
584,200,15000,14556.4,0.00202607
585,200,15000,14570.4,0.00202607
586,200,15000,14752.7,0.00202607
587,200,15000,14644.3,0.00202607
588,200,15000,14380.4,0.00202607
589,200,15000,14468.9,0.00202607
590,200,15000,14535.8,0.00202607
591,200,15000,14410,0.00202607
592,200,15000,14394.5,0.00202607
593,200,15000,14422.7,0.00202607
594,200,15000,14495.5,0.00202607
595,200,15000,14444.4,0.00202607
596,200,15000,14420.3,0.00202607
